May  3 00:35:14 shoichi newsyslog[8284]: logfile turned over
Fri May  3 00:36:45.095 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 00:36:45.096 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 01:05:14.554 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 01:05:14.554 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 01:05:14.554 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.6
Fri May  3 01:05:14.554 <kernel> wl0: setup_keepalive: Local port: 49174, Remote port: 5223
Fri May  3 01:05:14.554 <kernel> wl0: setup_keepalive: Seq: 1913657512, Ack: 2509495172, Win size: 2048
Fri May  3 01:05:14.554 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 01:05:14.554 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 01:05:14.554 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 01:05:14.554 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:d1ae:5a7a:9d1c:af88
Fri May  3 01:05:14.554 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 01:05:14.554 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 01:31:10.053 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 01:31:10.053 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 01:31:10.053 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1913657512, Ack: 2509495172, Win size: 2048
Fri May  3 01:31:10.053 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1913657565, Ack 2509495241, Win size 720
Fri May  3 01:31:10.053 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
